100
71 19
8 22 16 41 74 10 42 19 7 3 26 9 30 13 62 59 4 11 44 29 34 1 5 12 52 23 66 71 45 31 57 68 64 48 14 65 49 54 69 39 46 72 51 56 73 43 21 24 15 2 33 55 75 32 58 61 25 17 63 27 6 20 38 60 35 18 36 40 50 70 47
608 225 553 501
41 15 4 40 42
44 30 70 74 62
60 19 53 8 43
24 29 32 37 18
25 57 28 10 70
14 34 41 45 29
46 20 74 7 72
52 44 55 42 9
50 31 37 53 35
12 9 59 55 24
20 66 58 72 63
28 53 47 32 70
4 14 60 62 35
15 65 46 25 31
40 47 14 20 26
28 45 58 50 13
66 42 31 25 10
54 65 57 30 9
39 29 8 7 15
54 19 63 10 60
28 44 55 15 9
39 26 57 69 4
7 35 64 58 42
32 53 18 43 30
12 55 64 10 74
72 53 31 15 30
24 9 54 57 66
19 35 65 43 50
4 32 28 58 70
23 24
66 19 9 41 38 35 24 57 23 32 36 42 7 34 29 68 13 73 30 54 5 67 10
357 9 486 573
33 10 51 12 57
39 29 11 25 41
35 24 44 27 23
54 67 68 38 47
36 32 34 62 8
69 51 54 7 67
30 13 43 35 27
61 12 6 70 5
49 15 59 29 39
25 33 44 26 34
66 34 32 47 35
36 30 25 13 44
49 41 57 27 12
9 68 31 33 6
8 15 54 24 39
70 13 51 66 41
44 35 1 34 40
43 68 8 38 12
49 36 9 45 61
15 59 29 25 6
67 34 70 32 31
11 5 56 73 29
40 45 7 68 58
30 6 54 23 9
62 13 47 33 35
45 49 1 68 32
23 38 35 51 57
47 39 56 36 10
27 62 40 59 70
7 54 33 58 72
73 23 61 58 45
27 12 47 68 34
10 7 8 51 30
5 67 31 15 49
56 29 11 25 62
62 6 36 51 40
69 42 26 73 23
12 15 11 5 35
67 38 19 56 68
72 8 43 7 59
34 57 69 72 40
62 54 42 39 66
1 36 68 30 31
43 67 70 49 47
35 8 61 56 5
68 49 41 11 26
66 44 56 12 62
7 30 70 29 15
42 59 31 58 8
13 61 10 9 72
42 34 31 7 41
15 33 8 47 57
35 27 69 73 1
30 12 43 38 54
25 66 40 23 13
49 11 19 9 15
67 43 24 42 13
31 45 69 1 72
39 35 25 58 47
30 66 23 29 44
15 56 19 1 51
39 9 40 62 59
41 7 66 8 36
5 35 11 68 45
31 61 47 38 32
61 26 59 7 24
57 30 43 38 9
58 15 32 27 25
13 1 35 42 72
73 23 6 70 45
25 66 38 62 26
13 72 36 70 7
43 35 56 34 49
40 11 67 27 5
69 8 57 30 15
6 27 51 35 39
32 34 11 61 69
33 8 24 41 9
58 45 54 67 15
66 12 57 13 10
61 32 41 5 45
59 13 49 42 43
70 33 68 9 44
51 69 38 62 11
30 12 39 8 47
9 1 49 35 34
61 26 66 13 39
31 51 36 43 41
27 15 73 32 42
44 69 62 59 24
67 66 9 34 19
40 33 61 32 69
36 13 47 12 5
6 1 62 27 41
39 30 11 44 42
23 59 69 35 54
10 13 39 68 1
30 11 47 73 26
43 70 58 7 31
25 45 12 38 24
70 67 30 58 42
11 45 68 47 36
44 51 10 9 13
15 73 69 62 29
6 35 40 61 1
6 1 51 13 31
26 68 72 24 69
41 12 34 67 44
40 15 39 61 57
58 73 7 70 19
10 69 54 73 61
56 36 29 40 5
70 45 12 32 26
58 68 39 1 19
59 43 41 33 34
25 40 39 54 43
35 26 34 8 11
30 44 6 45 68
33 29 41 9 73
23 67 42 69 61
14 28
71 11 74 4 23 30 44 63 72 9 25 53 57 36
524 745 893 200
3 15 27 34 67
75 24 65 8 46
19 14 70 42 29
58 63 62 28 72
5 22 44 50 57
31 47 24 57 18
30 15 23 17 50
25 59 63 53 46
7 65 9 72 4
56 34 29 27 42
32 19 4 62 29
25 59 44 28 15
18 57 41 66 34
11 67 37 71 31
8 63 50 75 24
23 47 24 17 44
66 25 61 37 53
43 42 41 59 71
18 62 70 31 75
4 34 11 8 22
74 29 3 30 59
25 22 50 19 23
4 66 57 24 71
58 5 17 67 63
14 75 53 9 36
54 18 66 14 28
5 56 65 8 43
53 62 24 27 34
17 74 30 7 39
61 46 58 36 15
58 74 65 71 62
30 9 63 50 8
36 18 44 41 15
25 22 39 53 67
72 4 43 47 24
62 59 32 71 74
70 23 36 19 3
75 50 25 18 72
41 37 61 5 4
28 14 7 43 46
74 34 61 3 50
42 58 65 18 46
8 75 47 17 66
11 27 62 63 39
70 28 31 36 43
75 57 50 61 18
65 74 11 24 46
17 47 43 32 71
27 31 22 3 53
70 14 19 42 36
58 29 19 66 22
27 36 41 34 62
5 50 72 47 71
39 25 28 75 43
23 46 54 44 37
28 54 30 59 56
4 22 71 36 5
58 72 7 8 27
23 19 66 50 75
62 3 43 42 74
47 24 32 36 39
4 15 72 62 50
71 5 9 34 46
54 74 17 14 59
65 18 70 11 27
57 4 43 65 32
58 23 36 34 42
41 8 5 61 37
3 15 39 71 50
67 17 70 44 72
53 34 36 41 19
22 24 61 65 67
57 9 25 5 71
37 18 59 42 70
15 54 47 27 8
19 56 22 8 37
44 9 74 25 5
67 18 63 27 24
71 31 65 57 3
42 59 43 23 4
66 7 23 42 30
50 71 28 29 46
61 72 18 43 32
34 36 22 70 27
59 15 8 75 4
39 14 72 41 36
9 54 15 50 7
57 30 43 59 71
53 65 27 19 31
3 47 42 8 11
46 14 19 28 56
65 47 30 61 17
23 39 4 31 8
67 44 27 75 5
22 36 18 24 72
5 27 31 39 43
61 8 24 72 70
9 11 62 28 17
47 42 41 14 34
67 29 23 57 59
42 66 37 5 4
75 9 71 25 18
50 47 31 11 56
67 65 30 63 8
3 15 62 17 70
23 56 30 47 28
11 75 59 9 70
61 22 71 34 37
42 63 29 3 19
58 66 15 67 17
8 24 71 58 19
56 65 53 17 57
70 75 9 36 4
7 23 29 44 61
63 5 74 62 59
50 11 58 75 70
56 34 39 72 62
18 27 59 57 5
3 71 65 28 61
14 37 63 41 7
50 47 32 57 23
42 9 54 58 8
27 37 34 67 53
7 29 72 39 17
41 56 3 62 46
59 46 22 36 57
71 72 8 15 70
5 4 11 18 37
62 44 28 30 56
23 75 66 61 17
39 23 47 42 43
24 53 46 7 30
18 31 61 67 15
71 3 44 29 74
36 50 37 32 5
57 7 56 53 47
25 42 44 28 43
62 72 36 58 23
61 24 3 4 50
30 65 19 71 22
52 9
15 63 17 32 64 19 22 33 13 68 39 8 38 46 44 54 57 40 30 36 47 6 48 58 20 65 41 67 52 56 9 16 26 7 60 27 21 29 70 25 24 28 34 31 59 18 3 35 10 37 50 72
999 584 428 675
60 70 22 10 33
68 57 6 63 39
18 16 38 65 52
54 31 7 44 35
25 28 59 8 58
67 7 34 38 64
19 20 28 3 25
8 36 13 31 48
33 60 30 54 9
56 17 68 57 59
3 29 8 46 30
34 40 9 31 6
58 54 37 28 36
44 35 13 27 24
21 63 15 67 19
70 64 13 40 56
28 57 38 19 17
26 7 46 52 34
25 60 15 22 8
18 6 54 20 36
67 58 59 25 29
8 57 21 34 10
16 47 52 7 40
15 54 22 64 39
60 6 56 65 3
38 17 25 52 13
26 18 29 3 32
60 64 28 16 36
9 8 39 27 44
34 56 47 59 57
35 16 41 34 57
8 37 40 36 18
54 13 29 20 31
22 33 30 46 6
59 24 28 70 15
60 46 39 25 59
8 68 24 67 28
29 20 37 13 44
48 18 56 32 27
33 17 35 47 3
26 10 15 9 34
39 22 13 6 48
7 67 56 29 44
64 21 35 47 33
63 37 41 20 46
32 16
63 73 61 43 51 67 54 38 1 56 59 30 31 32 13 66 69 34 52 22 7 28 74 60 45 12 75 18 72 53 26 42
71 284 925 179
75 13 51 74 50
66 67 22 63 73
54 61 72 40 49
28 11 56 45 57
38 2 69 53 32
70 38 63 7 51
31 32 55 28 43
21 22 30 54 59
18 61 26 49 40
56 2 72 74 4
54 32 56 1 49
34 38 10 74 45
71 13 40 57 60
75 26 67 21 43
28 12 31 30 73
54 26 63 13 60
56 43 66 50 57
59 75 52 2 22
70 68 49 67 34
53 21 32 4 12
49 40 72 75 60
69 34 2 54 51
13 74 4 25 11
30 38 6 52 53
26 28 10 70 45
57 61 34 7 54
26 67 74 59 50
70 55 43 44 2
66 69 32 49 4
63 1 21 31 28
71 54 75 55 22
61 12 67 1 4
60 69 31 7 13
38 66 11 18 43
50 26 49 74 17
40 71 21 1 4
22 69 74 50 31
11 2 73 17 57
42 34 7 56 10
12 30 61 13 38
40 34 50 72 26
6 1 52 44 32
42 53 63 71 56
9 38 25 11 18
2 31 57 66 30
12 52 50 43 9
74 73 55 1 40
18 51 63 68 34
28 31 38 71 53
22 6 11 67 26
70 60 30 74 69
6 22 68 13 75
34 31 11 72 38
55 52 21 53 1
17 2 4 28 45
42 22 56 18 63
73 12 51 61 30
60 66 74 55 4
26 43 9 40 68
31 13 69 6 54
26 40 73 57 2
6 45 18 61 11
44 50 71 63 34
7 74 43 60 38
69 67 12 10 59
40 51 44 61 71
12 10 43 25 17
60 32 66 73 9
59 45 22 6 49
2 74 69 52 1
42 55 26 57 72
66 28 56 74 70
25 63 4 44 67
68 17 43 32 6
30 61 12 60 18
28 4 32 59 63
22 45 69 53 70
25 12 52 26 34
54 61 50 1 51
67 11 30 38 66
16 24
1 6 69 63 53 64 13 48 22 4 16 27 45 37 56 47
520 134 860 905
39 59 72 31 12
44 62 6 10 14
45 11 15 1 50
17 63 47 29 36
21 61 23 35 37
23 11 47 10 63
41 7 48 29 61
31 65 24 45 36
12 35 17 21 42
6 46 37 69 74
8 27 12 17 1
69 25 21 15 29
37 48 19 63 56
72 44 14 65 23
6 10 24 45 39
38 50 10 4 3
56 36 24 17 74
53 31 72 60 6
13 45 1 29 8
63 19 11 37 61
19 38 37 46 16
24 39 60 36 56
27 44 65 22 58
53 64 8 10 25
29 59 31 47 3
63 72 21 53 22
35 27 61 14 7
59 16 50 68 47
6 48 31 1 11
41 29 24 38 17
45 62 11 14 19
23 50 16 44 59
41 60 24 53 8
10 56 58 42 65
68 35 12 69 27
63 15 16 39 23
42 14 13 19 17
60 62 68 44 47
35 21 10 74 58
4 31 24 6 8
69 45 29 11 61
17 3 14 25 50
74 10 72 1 39
4 58 41 64 62
59 42 16 37 27
41 39 27 25 29
69 64 13 59 24
58 22 50 65 38
74 8 44 31 14
62 7 3 16 6
74 36 10 14 42
19 23 21 72 45
7 37 13 60 63
4 8 58 69 48
56 50 46 6 35
17 44 35 68 64
24 16 56 13 3
42 63 46 21 62
39 48 27 12 19
31 72 14 37 59
46 11 6 41 45
10 29 50 7 19
58 8 21 1 72
42 60 38 4 59
12 47 69 37 48
8 37 53 44 46
68 16 21 13 15
22 59 4 64 25
7 19 12 1 62
29 50 6 17 24
53 4 19 50 22
7 60 69 11 27
6 41 21 74 72
58 38 35 8 61
39 62 42 1 64
39 35 24 4 63
42 13 8 59 44
23 1 72 74 29
14 38 3 46 17
21 56 19 16 7
21 72 14 15 69
47 44 63 35 65
36 6 29 41 7
19 64 24 11 58
10 8 16 13 31
31 25 56 69 64
42 22 74 44 37
14 38 10 39 7
58 53 29 65 1
63 45 24 47 21
47 23 36 64 19
6 53 15 65 8
38 48 10 22 31
21 46 27 29 3
7 41 63 62 60
35 16 7 69 25
63 65 13 36 64
61 4 22 23 48
62 19 21 11 15
68 47 10 27 24
10 45 31 65 69
74 58 19 3 13
8 21 39 35 44
61 29 42 56 17
36 12 60 62 37
48 29 65 19 6
74 47 45 37 14
24 69 62 11 53
36 68 7 1 22
50 13 42 72 21
8 48 46 50 69
12 6 56 35 64
61 44 72 11 37
42 47 58 7 65
36 38 63 3 10
14 50 6 48 56
17 45 68 59 63
58 15 21 12 13
11 74 22 46 60
27 69 25 35 36
1 8
50
391 131 246 5
14 5 27 42 71
28 32 43 6 2
53 20 47 50 44
26 66 7 11 33
39 74 38 64 73
9 66 15 24 42
7 58 5 49 45
38 20 50 65 48
39 12 64 57 53
13 28 69 4 10
44 5 8 48 20
14 13 75 24 65
9 23 49 61 7
10 32 39 33 57
37 71 42 26 69
69 27 37 31 61
8 43 47 13 28
23 71 10 33 24
73 46 6 20 74
4 45 59 44 38
33 43 65 38 66
57 2 12 39 27
10 51 7 25 75
5 28 73 15 53
8 11 30 46 50
7 64 8 20 49
9 51 44 25 14
23 6 12 42 5
11 45 69 58 50
53 75 4 26 61
64 59 74 39 57
42 30 71 2 66
38 47 48 9 11
73 51 75 10 12
15 37 13 7 50
57 64 46 5 74
2 31 38 58 49
6 15 50 69 20
13 28 26 8 11
23 59 66 9 12
65 19
26 36 15 75 45 67 31 21 37 24 39 16 20 3 61 2 48 6 68 32 72 59 49 55 57 1 56 13 42 66 17 46 73 60 54 58 9 22 40 28 5 70 29 18 35 4 53 12 7 8 47 69 30 25 33 74 11 41 64 62 71 63 27 51 10
334 573 945 362
75 48 66 61 1
24 26 70 45 7
35 6 54 49 72
60 5 4 31 22
39 40 57 12 8
18 67 73 3 55
2 56 57 9 21
75 39 26 29 12
4 40 59 13 31
66 32 15 16 37
66 4 49 48 9
2 13 24 61 16
56 37 54 36 58
1 15 21 60 22
7 28 70 39 32
5 36 4 26 16
45 7 9 73 42
1 46 31 61 21
24 6 55 2 40
75 54 29 49 60
2 61 3 32 1
21 36 58 6 17
4 28 12 8 39
31 73 18 67 54
7 40 20 53 68
2 4 21 59 12
13 22 8 35 55
56 26 48 73 66
16 58 53 67 42
17 49 46 32 36
75 57 59 72 15
29 13 37 31 48
4 20 21 49 18
60 61 73 68 67
26 2 53 54 66
57 21 36 4 66
53 55 60 8 46
73 28 67 1 31
45 16 26 59 5
32 17 37 35 42
21 42 29 49 57
48 1 35 66 46
3 55 56 32 5
36 31 67 68 28
8 72 13 54 9
75 24 40 9 56
15 61 26 49 37
7 12 16 4 39
67 17 13 5 32
66 58 55 6 42
18 12 36 9 57
42 21 73 31 1
37 20 48 66 58
45 59 53 55 56
61 6 39 17 46
61 9 68 12 75
67 72 15 49 39
56 17 70 21 26
32 46 36 35 45
40 7 48 55 66
20 73 37 3 56
53 60 68 6 8
24 31 5 13 32
26 70 55 54 35
36 72 29 28 48
3 35 24 59 49
70 37 9 67 60
32 73 31 29 48
68 7 75 53 72
61 42 13 58 17
4 24 70 29 37
21 18 36 8 73
46 20 61 7 53
48 5 60 16 55
68 2 56 66 67
40 39 2 29 17
48 58 28 1 56
24 72 9 6 35
45 67 60 37 46
61 73 20 49 36
15 35 22 13 7
12 39 46 49 40
28 16 45 37 61
70 54 58 29 21
5 24 4 2 42
48 13 42 1 49
57 35 39 32 70
3 66 67 12 26
58 18 46 5 54
31 73 36 17 56
48 66 60 75 53
20 67 13 15 39
55 24 9 68 40
70 4 42 58 72
37 46 21 6 3
26 24
12 11 10 48 7 34 59 3 17 71 20 4 15 26 55 39 29 66 41 58 56 13 45 36 8 2
604 244 696 68
27 70 65 13 37
7 52 41 53 8
11 36 16 10 49
63 69 3 34 60
68 71 9 56 17
8 70 2 40 66
3 11 65 12 5
10 68 29 35 15
34 27 24 4 64
26 39 32 16 49
29 24 53 20 44
27 16 13 7 64
2 8 40 54 4
6 51 66 25 39
15 35 56 60 26
71 51 17 11 56
48 29 66 16 4
41 10 63 49 45
70 52 68 37 8
13 25 26 15 7
8 68 4 40 58
5 70 55 16 59
44 6 39 11 15
54 17 52 66 7
69 60 25 3 2
35 20 25 52 63
9 17 32 2 29
36 27 16 71 11
4 41 24 48 7
58 49 54 37 56
10 11 29 41 5
9 7 45 65 40
66 36 25 53 51
17 39 34 3 4
15 16 35 26 56
37 39 34 12 10
9 56 7 59 70
55 3 48 11 27
36 45 52 16 65
35 15 54 64 13
27 11 52 60 56
16 5 40 70 66
48 35 59 20 34
32 4 55 44 10
3 17 25 51 54
48 25 44 60 64
7 53 68 15 58
63 70 34 35 37
59 41 49 51 55
12 11 54 10 29
26 66 70 59 54
34 15 63 6 40
52 56 49 9 36
41 64 55 12 27
71 10 35 60 2
63 66 41 54 13
35 2 27 26 64
45 6 44 32 48
40 20 60 12 71
15 49 65 24 7
58 54 24 8 63
15 34 52 20 10
41 68 25 26 71
16 64 3 49 59
37 13 56 55 35
12 59 53 4 65
2 24 40 48 6
7 36 13 32 51
70 3 69 17 10
5 25 8 20 26
3 11 15 60 44
36 56 29 35 16
51 8 54 37 58
10 69 70 6 48
27 64 52 41 24
35 40 64 37 34
69 2 5 12 55
60 45 56 3 7
20 11 32 13 53
27 48 49 29 59
35 44 59 36 13
65 69 10 54 29
20 66 41 25 51
37 60 5 16 34
2 24 11 32 7
37 54 20 52 17
65 3 26 69 51
60 13 34 6 36
25 27 5 15 68
44 53 71 8 41
6 8 20 53 26
65 12 70 16 48
13 5 24 44 56
52 35 39 9 60
71 27 36 15 2
64 58 53 65 52
60 69 71 40 12
59 25 15 13 16
8 36 41 5 9
10 6 70 49 44
58 71 10 12 66
5 4 11 39 63
26 44 25 41 2
29 59 17 54 15
40 32 52 45 6
41 52 70 55 48
26 29 56 3 6
63 51 20 58 32
24 13 25 69 60
8 11 5 36 68
69 13 60 17 26
24 51 48 45 27
54 37 44 70 25
10 35 58 20 71
11 3 52 36 63
65 39 10 49 6
26 37 13 34 66
25 55 44 40 53
12 59 52 11 5
7 54 56 64 41
19 24
60 33 62 29 9 50 49 40 32 13 25 72 8 41 65 20 75 5 16
743 401 118 562
49 44 3 62 9
14 21 1 31 16
65 20 7 6 22
56 38 60 53 50
42 67 32 10 41
56 49 51 60 25
8 22 53 5 67
12 48 6 10 55
20 11 62 9 14
38 47 31 44 42
2 40 7 67 65
50 13 27 41 10
62 43 60 14 47
9 49 54 15 21
64 63 3 32 38
13 49 3 56 72
14 65 21 31 41
50 2 22 44 1
60 7 8 34 27
42 53 10 20 59
8 1 72 22 9
67 13 10 47 29
21 75 42 60 6
27 51 16 64 55
15 33 44 56 43
27 55 5 66 21
20 49 64 54 16
32 41 65 51 43
12 38 72 1 56
42 7 75 29 60
64 51 34 16 3
72 56 44 63 20
2 55 38 22 1
42 54 47 13 65
32 6 67 25 9
50 48 6 49 41
63 75 44 56 5
47 25 54 15 1
53 20 12 14 29
67 22 64 31 2
9 54 53 25 2
14 60 33 21 59
5 41 11 42 63
15 72 64 7 51
40 29 31 48 75
9 43 59 72 34
22 55 33 64 21
12 6 40 66 47
63 44 29 42 56
53 8 49 25 51
21 1 10 31 47
53 16 65 75 9
42 44 67 48 11
25 54 59 43 72
41 2 5 29 40
12 60 56 1 43
34 64 48 9 27
15 11 40 42 14
47 6 65 31 32
13 62 50 33 55
54 15 5 8 2
63 49 14 55 51
27 47 43 44 10
6 40 20 60 66
50 7 29 22 21
5 11 33 49 48
22 42 40 65 50
27 15 62 75 54
25 67 10 51 47
59 13 14 3 38
38 42 25 33 14
31 32 29 22 49
48 5 75 60 3
63 50 40 56 9
34 16 72 1 11
8 49 56 64 55
25 15 27 66 67
10 41 14 32 59
6 65 1 31 20
54 34 44 2 75
50 75 54 10 31
14 20 59 55 56
15 49 21 25 48
32 11 43 66 13
64 62 29 3 16
53 2 27 8 16
22 40 64 67 59
66 55 42 10 51
54 62 7 47 43
5 3 15 11 6
62 75 15 7 67
10 34 53 66 33
14 25 1 16 21
9 38 3 11 29
60 8 2 49 63
55 60 25 7 14
41 22 12 27 44
20 53 42 3 15
2 66 62 31 5
29 65 50 43 56
38 11 13 33 51
27 41 72 6 21
7 56 59 67 64
14 16 49 53 2
29 1 60 42 34
32 11 55 50 20
13 16 51 14 38
59 8 66 21 10
54 60 63 64 25
5 15 56 6 1
10 25 20 66 38
42 72 14 15 50
44 56 1 8 65
54 29 5 9 63
22 43 41 64 53
22 8 59 15 40
48 29 1 65 64
5 3 67 62 16
14 47 12 2 60
7 31 21 34 11
19 14
54 52 22 34 65 69 74 46 1 35 49 53 62 17 70 71 44 48 31
339 713 323 992
74 53 63 27 21
16 46 8 5 67
75 49 18 30 61
50 52 32 68 44
62 35 72 34 51
40 26 64 52 16
57 10 32 30 60
21 48 6 5 31
44 50 74 13 67
34 1 27 71 68
10 6 19 54 44
32 48 40 57 34
70 69 27 75 51
52 33 53 21 65
60 25 30 18 31
41 34 6 65 56
28 72 46 1 33
51 31 49 10 57
74 44 53 8 25
67 30 61 64 18
8 34 50 32 70
40 72 52 13 62
14 67 31 27 65
30 1 54 64 19
21 33 57 71 6
60 65 63 35 1
13 33 64 14 51
62 68 10 18 49
27 6 54 34 25
28 8 31 17 19
33 28 5 54 75
6 26 8 22 69
67 70 44 31 62
10 71 46 49 68
21 65 57 48 50
26 21 49 67 70
44 48 72 63 13
17 33 75 40 69
74 56 6 31 27
18 14 54 53 50
22 21 64 48 13
30 62 19 14 26
17 53 67 75 33
27 65 46 50 35
41 32 54 10 40
10 49 34 21 61
13 52 64 26 35
56 31 44 33 48
62 41 30 5 68
28 8 53 71 25
69 30 51 17 18
53 49 72 34 75
13 32 62 1 68
5 61 48 8 10
16 67 65 46 25
54 51 13 61 27
68 70 16 26 63
67 14 33 44 17
53 32 35 74 60
56 57 72 50 41
48 56 17 30 16
64 31 46 57 6
67 22 68 26 1
49 14 35 19 72
34 28 61 65 71
44 46 1 33 71
41 34 31 54 49
35 18 50 60 5
21 75 22 52 72
64 57 30 10 63
37 5
63 11 39 47 45 25 53 40 27 32 73 51 8 37 75 62 13 61 68 29 43 35 69 70 19 1 18 21 2 59 65 3 67 52 9 26 46
596 576 918 583
6 18 28 9 45
3 35 73 61 59
1 2 36 27 44
47 60 53 11 62
40 69 63 50 26
61 68 69 45 51
60 63 2 19 48
37 67 21 35 40
54 73 1 13 28
29 33 32 31 11
11 62 69 43 72
8 68 65 48 37
50 26 59 61 35
75 40 36 2 13
28 21 46 45 1
10 33 21 36 68
1 25 6 31 53
69 62 11 44 8
50 35 63 37 51
3 46 26 73 28
59 62 35 18 11
3 36 6 51 2
22 65 61 33 21
29 69 31 48 73
43 50 63 37 13
49 10
42 38 56 4 25 37 49 30 65 45 70 32 60 8 14 36 72 43 54 67 44 12 5 71 31 21 55 34 9 64 74 53 19 10 48 6 63 24 62 33 58 59 52 18 39 66 69 40 35
519 335 969 690
5 69 55 18 59
25 21 60 40 67
36 31 4 12 14
63 33 62 35 32
43 45 56 49 42
54 6 52 53 56
48 42 67 10 65
30 37 5 69 35
55 72 60 62 64
8 31 66 49 74
19 40 49 43 59
64 24 53 25 10
44 58 72 14 56
5 75 60 35 4
62 69 38 74 66
62 42 64 75 24
34 36 18 54 67
4 39 25 37 31
48 12 9 19 55
32 8 52 6 70
58 44 5 40 75
19 39 33 52 48
42 59 32 25 54
4 67 14 62 9
18 66 21 36 6
43 31 42 54 53
67 44 38 69 21
30 12 35 32 19
70 5 34 18 52
60 8 6 39 14
6 9 30 32 67
56 38 31 53 66
19 8 49 4 33
72 64 54 63 44
55 37 74 62 39
9 49 55 42 40
58 30 36 14 38
37 35 33 66 4
75 39 21 63 34
45 10 44 32 53
30 74 33 4 38
45 6 66 71 35
42 64 63 44 70
10 52 39 37 9
49 21 25 8 5
32 21 71 8 48
37 44 33 64 36
19 30 25 67 69
14 53 24 65 42
74 4 40 43 52
23 1
16 26 9 18 7 40 15 42 58 22 57 38 44 67 2 35 6 66 32 51 3 48 68
847 229 283 171
67 40 57 65 23
6 52 58 38 18
64 11 42 26 27
16 68 53 32 15
7 59 22 63 55
73 26
37 27 35 64 10 8 29 48 65 31 54 7 47 30 36 44 57 21 9 55 52 74 34 22 71 15 23 73 56 12 67 60 18 11 2 69 13 51 38 72 28 53 49 61 39 42 43 17 58 32 3 41 68 62 20 24 1 70 63 50 46 4 40 19 16 33 45 75 5 25 14 59 26
354 251 599 144
71 10 52 23 18
72 12 22 29 39
55 15 7 13 61
32 17 37 34 35
64 27 74 43 38
71 55 12 28 54
69 11 23 27 67
56 17 31 21 38
42 57 61 39 72
47 29 53 7 9
2 17 28 35 38
22 39 54 31 73
58 56 61 48 11
49 13 8 67 34
57 27 74 7 65
73 56 61 17 22
12 65 48 54 34
10 31 15 57 69
52 7 28 67 43
44 32 64 42 53
43 53 61 67 13
21 49 29 38 22
74 18 31 27 52
42 69 56 8 54
55 44 32 12 39
35 39 57 56 29
36 9 7 58 48
8 54 31 49 44
30 51 13 69 38
65 27 60 28 71
48 8 32 64 49
73 17 67 23 53
74 28 35 47 39
51 21 27 42 37
9 52 11 29 31
27 74 52 67 12
57 2 8 69 37
10 47 58 31 23
72 34 56 39 54
53 49 71 11 61
2 38 29 44 22
35 12 61 39 9
57 54 65 27 21
48 69 37 10 64
11 8 53 23 17
15 74 7 35 11
47 67 44 58 23
43 39 10 31 13
48 42 37 52 30
12 61 54 55 29
72 52 49 57 73
32 10 27 23 47
29 39 30 22 61
21 28 44 17 53
31 67 42 60 37
36 8 30 38 22
34 65 18 44 21
43 73 58 42 48
64 55 12 74 52
56 67 61 28 35
58 69 31 17 30
27 22 7 37 56
55 32 72 54 64
52 21 51 71 34
57 61 53 29 36
49 12 38 57 54
74 28 30 37 43
64 22 67 47 61
69 21 9 44 13
18 35 27 58 72
53 7 23 12 47
74 29 71 65 10
22 52 48 44 11
67 60 57 64 72
21 9 51 55 69
43 48 51 67 28
71 18 37 35 11
64 8 55 72 15
7 34 32 49 22
73 65 13 23 29
13 48 71 52 29
8 9 10 57 22
37 28 43 60 72
53 32 65 31 64
73 69 58 47 27
61 38 72 57 27
71 49 15 23 10
52 12 7 73 53
54 2 43 47 22
13 60 8 74 37
73 55 28 21 27
67 61 10 15 49
9 57 22 2 47
71 42 37 54 39
53 48 72 56 31
39 23 12 49 38
61 43 30 21 32
9 67 35 7 54
65 22 10 15 28
13 55 47 57 60
31 67 8 44 17
71 52 34 72 64
10 47 38 11 49
60 32 29 51 12
22 37 39 15 36
8 71 32 53 48
44 9 35 28 57
22 42 43 27 56
11 18 65 72 51
36 29 64 52 54
32 71 21 74 72
12 56 65 67 37
42 23 15 69 7
60 22 53 57 48
34 18 38 61 2
53 28 47 73 54
36 15 30 35 67
69 9 42 39 21
65 32 49 27 29
55 52 22 38 71
55 39 31 58 74
28 32 2 15 29
53 17 12 7 65
61 9 64 48 47
37 36 54 8 67
44 48 55 74 11
64 17 34 47 72
43 21 39 73 57
8 15 60 2 38
67 10 31 71 56
56 1
3 65 1 13 61 68 32 38 21 34 40 63 36 9 66 15 17 57 69 30 75 47 53 4 28 62 50 67 44 18 41 35 33 73 71 46 26 49 72 60 19 24 56 25 31 43 14 58 59 11 45 27 54 39 52 29
637 331 922 323
57 4 62 41 14
38 75 1 63 71
9 72 47 17 66
60 18 49 13 15
69 11 67 35 56
64 0
63 39 48 72 27 12 35 8 44 9 69 46 70 31 57 68 67 3 73 47 34 29 71 19 62 52 36 23 16 26 33 10 25 5 11 45 13 2 38 37 7 59 28 4 74 15 60 65 61 75 43 21 42 55 20 58 41 1 17 24 22 53 50 40
909 840 389 935
55 28
69 48 12 50 21 45 40 30 5 31 71 43 49 66 63 38 1 33 17 65 61 18 27 52 44 73 15 62 68 51 16 72 67 42 46 39 3 28 37 32 22 24 74 57 9 75 19 23 7 47 25 6 29 59 10
475 562 606 591
67 12 18 38 52
68 1 61 73 51
22 27 3 46 74
57 62 48 7 30
39 44 40 24 32
23 16 12 22 50
39 72 7 48 27
49 62 24 51 74
65 67 28 43 32
17 37 75 42 1
1 32 24 67 31
69 66 15 72 47
52 37 62 51 65
42 38 5 68 28
48 7 19 43 49
66 65 73 74 9
3 75 1 63 46
51 15 52 48 12
37 40 5 44 18
16 17 30 31 27
48 51 16 62 18
32 71 40 1 57
17 39 61 52 12
27 63 42 73 46
21 31 47 43 30
22 67 32 52 21
69 61 46 12 48
51 30 45 47 57
37 72 31 16 75
3 74 24 9 63
3 31 74 38 24
32 21 69 68 61
43 33 18 49 9
63 12 72 42 75
51 17 50 28 62
21 12 74 44 19
33 67 66 68 71
3 24 65 47 62
73 50 52 42 49
16 38 43 51 5
9 74 57 51 42
15 71 39 28 52
37 21 12 69 48
43 16 46 62 22
5 38 65 27 32
